variable,value,value_label,net_savings,roi,delta_vs_base,viable,is_base
Cost per readmission ($),8000.0,"$8,000",582000.0000000002,55.42857142857145,-1428000.0000000002,True,False
Cost per readmission ($),10000.0,"$10,000",990000.0000000002,94.2857142857143,-1020000.0000000002,True,False
Cost per readmission ($),12000.0,"$12,000",1398000.0000000005,133.1428571428572,-612000.0,True,False
Cost per readmission ($),15000.0,"$15,000",2010000.0000000005,191.42857142857147,0.0,True,True
Cost per readmission ($),17000.0,"$17,000",2418000.0000000005,230.28571428571433,408000.0,True,False
Cost per readmission ($),20000.0,"$20,000",3030000.0000000005,288.5714285714286,1020000.0,True,False
Cost per readmission ($),25000.0,"$25,000",4050000.000000001,385.71428571428584,2040000.0000000005,True,False
Intervention effectiveness (%),0.05,5%,-284999.9999999999,-27.142857142857128,-2295000.0000000005,False,False
Intervention effectiveness (%),0.1,10%,480000.00000000023,45.71428571428574,-1530000.0000000002,True,False
Intervention effectiveness (%),0.15,15%,1245000.0,118.57142857142857,-765000.0000000005,True,False
Intervention effectiveness (%),0.2,20%,2010000.0000000005,191.42857142857147,0.0,True,True
Intervention effectiveness (%),0.25,25%,2775000.0000000005,264.28571428571433,765000.0,True,False
Intervention effectiveness (%),0.3,30%,3540000.0,337.14285714285717,1529999.9999999995,True,False
Intervention effectiveness (%),0.4,40%,5070000.000000001,482.8571428571429,3060000.0000000005,True,False
Outreach cost per patient ($),100.0,$100,2760000.0000000005,920.0000000000001,750000.0,True,False
Outreach cost per patient ($),200.0,$200,2460000.0000000005,410.00000000000006,450000.0,True,False
Outreach cost per patient ($),300.0,$300,2160000.0000000005,240.00000000000003,150000.0,True,False
Outreach cost per patient ($),350.0,$350,2010000.0000000005,191.42857142857147,0.0,True,True
Outreach cost per patient ($),500.0,$500,1560000.0000000005,104.00000000000003,-450000.0,True,False
Outreach cost per patient ($),700.0,$700,960000.0000000005,45.71428571428574,-1050000.0,True,False
Outreach cost per patient ($),1000.0,"$1,000",60000.000000000466,2.0000000000000155,-1950000.0,True,False
Monthly patients outreached (K),50.0,50,402000.0000000001,191.42857142857147,-1608000.0000000005,True,False
Monthly patients outreached (K),100.0,100,804000.0000000002,191.42857142857147,-1206000.0000000002,True,False
Monthly patients outreached (K),150.0,150,1206000.0,191.42857142857144,-804000.0000000005,True,False
Monthly patients outreached (K),200.0,200,1608000.0000000005,191.42857142857147,-402000.0,True,False
Monthly patients outreached (K),250.0,250,2010000.0000000005,191.42857142857147,0.0,True,True
Monthly patients outreached (K),300.0,300,2412000.0,191.42857142857144,401999.99999999953,True,False
Monthly patients outreached (K),500.0,500,4020000.000000001,191.42857142857147,2010000.0000000005,True,False
Model precision at K (%),0.088,8.8%,-257999.99999999988,-24.571428571428562,-2268000.0000000005,False,False
Model precision at K (%),0.15,15.0%,300000.0,28.57142857142857,-1710000.0000000005,True,False
Model precision at K (%),0.2,20.0%,750000.0,71.42857142857143,-1260000.0000000005,True,False
Model precision at K (%),0.25,25.0%,1200000.0,114.28571428571428,-810000.0000000005,True,False
Model precision at K (%),0.34,34.0%,2010000.0000000005,191.42857142857147,0.0,True,True
Model precision at K (%),0.4,40.0%,2550000.0,242.85714285714283,539999.9999999995,True,False
Model precision at K (%),0.46,46.0%,3090000.0,294.28571428571433,1079999.9999999995,True,False
