k,tp,precision,lift,pct_caught
50,23,0.46,5.225877680698968,1.8268467037331215
100,42,0.42,4.771453534551231,3.3359809372517866
150,53,0.35333333333333333,4.014079957638337,4.209690230341541
200,71,0.355,4.033014297061159,5.639396346306593
250,85,0.34,3.862605242255759,6.751389992057188
300,99,0.33,3.7489992057188246,7.863383637807784
400,121,0.3025,3.436582605242256,9.610802223987292
500,150,0.3,3.4081810961080223,11.914217633042098
750,200,0.26666666666666666,3.0294943076515755,15.885623510722796
1000,235,0.235,2.6697418586179507,18.665607625099284
1430,309,0.21608391608391608,2.454843726567317,24.54328832406672
2000,384,0.192,2.1812359015091345,30.500397140587772
3000,501,0.167,1.897220810166799,39.793486894360605
4000,613,0.15325,1.7410125099285148,48.689436060365374
5000,717,0.1434,1.6291105639396346,56.94996028594122
