feature,mean_abs_shap,mean_shap,rank
discharge_type,0.20876912705693096,0.015215547970721994,1
diag_group,0.08075488100327477,0.005861461833383139,2
diabetesmed,0.0656064869735432,-0.0012621236638731014,3
complexity_score,0.05636740480324231,-0.006548696957402835,4
age,0.05603221583639944,0.0011701757206661204,5
lab_procedures,0.045629344907010656,0.009955130745683695,6
inpatient_visits,0.04555237564748134,-0.008457226232930307,7
procedures_per_day,0.043257520985236275,0.002779655380989437,8
meds_per_day,0.03808079761295631,0.0032999555577379693,9
care_load,0.03580059412101357,-0.01767551830695859,10
days_in_hospital,0.03518129409849114,-0.010735090939271063,11
medical_specialty,0.03473835521924595,0.004123971831112113,12
meds_per_diagnosis,0.03243339221971972,-0.0017519394391444,13
total_visits,0.030419341190938375,-0.00045837279357641966,14
labs_per_day,0.029276787859413497,0.006347250806056852,15
insulin,0.029000584733811095,0.008003781374557912,16
medications,0.028992737192058127,-0.0007519150541832506,17
num_diagnoses,0.027653391979576513,6.796754227780685e-05,18
admission_type,0.02528643658473243,0.006721679014006106,19
admission_source,0.02368564562948655,0.003681758431624667,20
repeat_acute_flag,0.020985975194179735,0.0005255373928538804,21
acute_burden,0.02027084245657346,0.0015830096022522908,22
a1cresult,0.019188359296707324,0.0038902880896666413,23
procedures,0.018589391643883804,-0.009817311802789563,24
race,0.01838162767078558,0.0027707020825368657,25
visit_burden,0.014092035858677604,-0.0024216512621103386,26
gender,0.011912331269784329,0.0002066107007583328,27
long_stay_flag,0.011515650582519722,-0.001828943040577403,28
high_diagnosis_flag,0.006898303843570806,0.001428395649715601,29
outpatient_visits,0.006827876578459874,0.0001810341010479867,30
polypharmacy_flag,0.0054580676731078364,0.001116187178078588,31
emergency_visits,0.004517055163780999,-0.0007682877671970553,32
